2026-01-21 09:25:23,Nitro Tap,10.92 oz,POUR
2026-01-21 11:04:41,Nitro Tap,8.01 oz,POUR
2026-01-21 12:39:21,Nitro Tap,8.08 oz,POUR
2026-01-21 13:59:01,Nitro Tap,11.36 oz,POUR
2026-01-21 17:22:58,Nitro Tap,11.90 oz,POUR
2026-01-21 19:16:13,Nitro Tap,11.26 oz,POUR
2026-01-21 21:08:13,Nitro Tap,11.40 oz,POUR
2026-01-21 23:13:05,Nitro Tap,9.30 oz,POUR
2026-01-22 00:37:08,Nitro Tap,10.55 oz,POUR
2026-01-22 02:32:01,Nitro Tap,11.40 oz,POUR
2026-01-22 03:51:22,Wisco Tap,4.46 oz,POUR
2026-01-22 04:31:51,Nitro Tap,11.53 oz,POUR
2026-01-22 06:42:30,Nitro Tap,10.15 oz,POUR
2026-01-22 09:56:05,Wisco Tap,8.69 oz,POUR
2026-01-22 10:19:04,Nitro Tap,10.65 oz,POUR
2026-01-22 11:51:28,Nitro Tap,11.50 oz,POUR
2026-01-22 13:48:40,Nitro Tap,11.97 oz,POUR
2026-01-22 15:37:37,Nitro Tap,8.08 oz,POUR
2026-01-23 09:49:25,Nitro Tap,8.39 oz,POUR
2026-01-23 09:56:26,Nitro Tap,7.71 oz,POUR
2026-01-23 10:02:33,Nitro Tap,6.70 oz,POUR
2026-01-23 11:13:19,Nitro Tap,10.89 oz,POUR
2026-01-23 11:18:22,Nitro Tap,10.89 oz,POUR
2026-01-23 11:31:24,Nitro Tap,9.54 oz,POUR
2026-01-23 11:36:25,Nitro Tap,9.20 oz,POUR
2026-01-23 13:09:08,Nitro Tap,11.67 oz,POUR
2026-01-23 13:14:27,Nitro Tap,11.67 oz,POUR
2026-01-23 13:30:52,Nitro Tap,10.31 oz,POUR
2026-01-23 13:35:57,Nitro Tap,9.98 oz,POUR
2026-01-23 13:50:38,Nitro Tap,7.27 oz,POUR
2026-01-23 13:56:05,Nitro Tap,6.26 oz,POUR
2026-01-23 17:01:57,Nitro Tap,8.12 oz,POUR
2026-01-23 17:13:24,Nitro Tap,6.76 oz,POUR
2026-01-23 18:27:30,Nitro Tap,11.26 oz,POUR
2026-01-23 18:38:33,Nitro Tap,7.88 oz,POUR
2026-01-23 18:44:04,Nitro Tap,7.54 oz,POUR
2026-01-23 18:52:48,Nitro Tap,6.19 oz,POUR
2026-01-23 20:02:47,Nitro Tap,10.72 oz,POUR
2026-01-23 20:22:17,Nitro Tap,9.37 oz,POUR
2026-01-23 20:27:18,Nitro Tap,9.03 oz,POUR
2026-01-23 22:00:35,Nitro Tap,11.90 oz,POUR
2026-01-23 22:20:50,Nitro Tap,10.55 oz,POUR
2026-01-23 22:38:03,Nitro Tap,7.85 oz,POUR
2026-01-23 23:59:16,Nitro Tap,12.48 oz,POUR
2026-01-24 00:06:52,Nitro Tap,12.82 oz,POUR
2026-01-24 00:20:46,Nitro Tap,11.13 oz,POUR
2026-01-24 00:30:18,Wisco Tap,8.08 oz,POUR
2026-01-24 00:35:53,Wisco Tap,8.42 oz,POUR
2026-01-24 00:41:12,Wisco Tap,8.42 oz,POUR
2026-01-24 00:46:17,Wisco Tap,8.08 oz,POUR
2026-01-24 00:51:41,Wisco Tap,7.74 oz,POUR
2026-01-24 01:01:15,Wisco Tap,7.41 oz,POUR
2026-01-24 01:09:37,Wisco Tap,7.41 oz,POUR
2026-01-24 01:16:37,Wisco Tap,7.74 oz,POUR
2026-01-24 01:22:44,Wisco Tap,8.08 oz,POUR
2026-01-24 01:28:59,Wisco Tap,8.42 oz,POUR
2026-01-24 01:35:02,Wisco Tap,8.42 oz,POUR
2026-01-24 01:57:33,Nitro Tap,12.17 oz,POUR
2026-01-24 02:03:41,Nitro Tap,12.51 oz,POUR
2026-01-24 02:15:42,Nitro Tap,11.16 oz,POUR
2026-01-24 03:52:36,Nitro Tap,11.50 oz,POUR
2026-01-24 04:14:24,Nitro Tap,10.15 oz,POUR
2026-01-24 04:35:44,Nitro Tap,6.43 oz,POUR
2026-01-24 05:59:27,Wisco Tap,8.79 oz,POUR
2026-01-24 06:01:04,Nitro Tap,8.29 oz,POUR
2026-01-24 06:08:06,Wisco Tap,9.13 oz,POUR
2026-01-24 06:14:07,Nitro Tap,6.59 oz,POUR
2026-01-24 06:19:28,Wisco Tap,8.12 oz,POUR
2026-01-24 06:25:58,Wisco Tap,7.78 oz,POUR
2026-01-24 06:31:13,Wisco Tap,7.78 oz,POUR
2026-01-24 06:37:42,Wisco Tap,7.78 oz,POUR
2026-01-24 06:43:46,Wisco Tap,7.78 oz,POUR
2026-01-24 07:40:04,Nitro Tap,7.27 oz,POUR
2026-01-24 09:23:54,Nitro Tap,9.44 oz,POUR
2026-01-24 11:12:05,Wisco Tap,7.07 oz,POUR
2026-01-24 11:14:25,Nitro Tap,9.67 oz,POUR
2026-01-24 11:19:53,Wisco Tap,7.74 oz,POUR
2026-01-24 11:25:06,Wisco Tap,7.74 oz,POUR
2026-01-24 11:32:19,Wisco Tap,7.41 oz,POUR
2026-01-24 11:37:22,Wisco Tap,7.41 oz,POUR
2026-01-24 11:44:24,Wisco Tap,7.07 oz,POUR
2026-01-24 11:49:24,Wisco Tap,7.07 oz,POUR
2026-01-24 11:55:19,Wisco Tap,7.07 oz,POUR
2026-01-24 12:01:19,Wisco Tap,7.07 oz,POUR
2026-01-24 12:07:20,Wisco Tap,7.07 oz,POUR
2026-01-24 12:14:44,Wisco Tap,7.07 oz,POUR
2026-01-24 12:22:34,Wisco Tap,6.73 oz,POUR
2026-01-24 12:43:01,Nitro Tap,10.72 oz,POUR
2026-01-24 14:59:08,Nitro Tap,8.45 oz,POUR
2026-01-24 16:32:47,Wisco Tap,8.05 oz,POUR
2026-01-24 16:40:11,Wisco Tap,8.05 oz,POUR
2026-01-24 16:45:43,Wisco Tap,8.05 oz,POUR
2026-01-24 16:53:25,Wisco Tap,7.71 oz,POUR
2026-01-24 16:59:48,Wisco Tap,7.37 oz,POUR
2026-01-24 17:04:52,Wisco Tap,7.37 oz,POUR
2026-01-24 17:10:14,Wisco Tap,7.37 oz,POUR
2026-01-24 17:15:40,Wisco Tap,7.37 oz,POUR
2026-01-24 17:20:42,Wisco Tap,7.37 oz,POUR
2026-01-24 17:30:49,Wisco Tap,7.03 oz,POUR
2026-01-24 18:00:44,Nitro Tap,12.51 oz,POUR
2026-01-24 18:19:57,Nitro Tap,11.16 oz,POUR
2026-01-24 18:40:39,Nitro Tap,7.78 oz,POUR
2026-01-24 18:52:17,Wisco Tap,13.19 oz,POUR
2026-01-24 18:57:37,Wisco Tap,13.19 oz,POUR
2026-01-24 19:02:42,Wisco Tap,13.19 oz,POUR
2026-01-24 19:08:39,Wisco Tap,13.19 oz,POUR
2026-01-24 19:16:00,Wisco Tap,13.19 oz,POUR
2026-01-24 19:27:41,Wisco Tap,12.85 oz,POUR
2026-01-24 19:33:01,Wisco Tap,12.85 oz,POUR
2026-01-24 19:38:17,Wisco Tap,12.85 oz,POUR
2026-01-24 19:48:05,Wisco Tap,13.19 oz,POUR
2026-01-24 19:53:28,Wisco Tap,13.53 oz,POUR
2026-01-24 19:58:55,Wisco Tap,13.87 oz,POUR
2026-01-24 20:05:20,Wisco Tap,13.53 oz,POUR
2026-01-24 20:10:21,Wisco Tap,13.53 oz,POUR
2026-01-24 20:11:10,Nitro Tap,9.47 oz,POUR
2026-01-24 20:15:21,Wisco Tap,13.19 oz,POUR
2026-01-24 20:20:22,Wisco Tap,13.19 oz,POUR
2026-01-24 20:25:37,Wisco Tap,12.85 oz,POUR
