2026-01-13 12:21:15,Nitro Tap,11.2%,UPDATE
2026-01-13 12:21:29,Wisco Tap,54.4%,UPDATE
2026-01-13 12:21:36,Wisco Tap,54.5%,UPDATE
2026-01-13 12:23:21,Wisco Tap,54.6%,UPDATE
2026-01-13 12:23:22,Wisco Tap,54.7%,UPDATE
2026-01-13 12:23:30,Wisco Tap,54.8%,UPDATE
2026-01-13 12:24:06,Law Tap,29.8%,UPDATE
2026-01-13 12:24:25,Wisco Tap,54.9%,UPDATE
2026-01-13 12:25:22,Wisco Tap,55.0%,UPDATE
2026-01-13 12:25:45,Nitro Tap,11.3%,UPDATE
2026-01-13 12:27:00,Wisco Tap,55.1%,UPDATE
2026-01-13 12:28:38,Nitro Tap,11.4%,UPDATE
2026-01-13 12:32:45,Wisco Tap,55.2%,UPDATE
2026-01-13 12:32:59,Law Tap,29.9%,UPDATE
2026-01-13 12:33:49,Nitro Tap,11.5%,UPDATE
2026-01-13 12:36:47,Nitro Tap,11.6%,UPDATE
2026-01-13 12:40:36,Wisco Tap,55.1%,UPDATE
2026-01-13 12:41:14,Nitro Tap,11.7%,UPDATE
2026-01-13 12:46:35,Nitro Tap,11.8%,UPDATE
2026-01-13 12:51:48,Nitro Tap,11.9%,UPDATE
2026-01-13 13:00:16,Nitro Tap,11.8%,UPDATE
2026-01-13 13:00:33,Nitro Tap,11.7%,UPDATE
2026-01-13 13:00:44,Nitro Tap,11.6%,UPDATE
2026-01-13 13:00:58,Nitro Tap,11.5%,UPDATE
2026-01-13 13:01:16,Nitro Tap,11.4%,UPDATE
2026-01-13 13:01:42,Nitro Tap,11.3%,UPDATE
2026-01-13 13:02:29,Nitro Tap,11.2%,UPDATE
2026-01-13 13:02:55,Nitro Tap,11.1%,UPDATE
2026-01-13 13:03:29,Nitro Tap,11.0%,UPDATE
2026-01-13 13:04:29,Nitro Tap,10.9%,UPDATE
2026-01-13 13:05:40,Wisco Tap,55.2%,UPDATE
2026-01-13 13:06:56,Wisco Tap,55.1%,UPDATE
2026-01-13 13:07:21,Nitro Tap,10.8%,UPDATE
2026-01-13 13:08:53,Nitro Tap,10.7%,UPDATE
2026-01-13 13:09:35,Nitro Tap,10.6%,UPDATE
2026-01-13 13:10:30,Nitro Tap,10.5%,UPDATE
2026-01-13 13:10:58,Nitro Tap,10.4%,UPDATE
2026-01-13 13:11:09,Wisco Tap,55.2%,UPDATE
